Instance,BKS,Ref,BestRef,AvgRef,TimeRef
256_1.5,58274.8,ILS-SP,58274.8,58274.8,53.7
256_2.0,39596.4,ILS-SP,39596.4,39596.5,46.9
256_2.5,31101.4,ILS-SP,31101.4,31101.6,115.9
256_3.0,25361.8,ILS-SP,25372.8,25384.4,243.0
26_1.0,872.4,ILS-SP,872.4,872.4,0.4
26_1.5,680.8,ILS-SP,680.8,680.8,0.4
26_2.0,566.5,ILS-SP,566.5,566.5,0.4
26_2.5,531.6,ILS-SP,531.6,532.5,0.4
26_3.0,493.8,ILS-SP,493.8,494.4,0.4
301_1.0,24087.0,ILS-SP,24107.8,24213.4,298.1
301_1.5,17517.0,ILS-SP,17586.4,17679.0,298.2
301_2.0,14367.0,ILS-SP,14695.8,14863.8,302.9
301_2.5,12598.2,ILS-SP,12610.5,12860.6,304.4
301_3.0,11352.1,ILS-SP,11405.0,11548.5,299.4
30_1.0,656.0,ILS-SP,656.0,656.0,0.8
30_1.5,514.3,ILS-SP,514.3,514.3,0.7
30_2.0,489.0,ILS-SP,489.0,489.0,0.7
30_2.5,477.7,ILS-SP,477.7,477.7,0.7
30_3.0,477.7,ILS-SP,477.7,477.7,0.7
36_1.0,953.6,ILS-SP,953.6,953.6,0.7
36_1.5,749.8,ILS-SP,749.8,749.8,0.8
36_2.0,659.9,ILS-SP,660.2,660.2,0.9
36_2.5,584.9,ILS-SP,584.9,584.9,0.9
36_3.0,547.6,ILS-SP,547.6,547.6,0.9
45_1.0,891.8,ILS-SP,891.8,891.8,2.2
45_1.5,773.1,ILS-SP,774.5,776.0,1.8
45_2.0,735.6,ILS-SP,735.6,735.6,1.8
45_2.5,727.2,ILS-SP,727.2,727.2,1.6
45_3.0,706.0,ILS-SP,705.9,706.7,1.6
51_1.0,1442.0,ILS-SP,1442.0,1442.0,1.6
51_1.5,1083.6,ILS-SP,1083.6,1083.7,1.8
51_2.0,904.3,ILS-SP,904.3,904.3,1.9
51_2.5,790.0,ILS-SP,790.0,790.0,1.9
51_3.0,736.4,ILS-SP,736.4,737.2,2.0
72_1.0,339.4,ILS-SP,339.6,344.5,5.8
72_1.5,290.6,ILS-SP,290.6,290.7,4.8
72_2.0,262.0,ILS-SP,262.0,262.0,4.8
72_2.5,246.9,ILS-SP,246.9,249.1,4.5
72_3.0,239.4,ILS-SP,239.4,239.4,4.8
