Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/R204_100_015.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |           813.20 |       813.20 |       825.60 |                  6.43 |                    6.43 |     11 |     0.2389 |
|        1 |          2 |           813.20 |       813.20 |       825.60 |                  5.00 |                    5.00 |     11 |     0.7018 |
|        1 |          3 |           813.20 |       813.20 |       824.40 |                  5.00 |                    5.00 |     14 |     0.7814 |
|        1 |          4 |           813.20 |       813.20 |       829.40 |                  5.00 |                    5.00 |     17 |     0.8832 |
|        1 |          0 |           777.70 |       777.70 |       777.70 |                  5.00 |                    5.00 |     22 |     1.0771 |
|        1 |          1 |           777.70 |       777.70 |       777.70 |                  5.00 |                    5.00 |     22 |     1.1228 |
|        1 |          2 |           777.70 |       777.70 |       777.70 |                  5.00 |                    5.00 |     22 |     1.1652 |
|        1 |          3 |           777.70 |       777.70 |       777.70 |                  5.00 |                    5.00 |     22 |     1.2114 |
|        1 |          0 |           768.80 |       768.80 |       768.80 |                  5.00 |                    5.00 |     25 |     1.2755 |
|        1 |          1 |           768.80 |       768.80 |       768.80 |                  5.00 |                    5.00 |     25 |     1.3254 |
|        1 |          2 |           768.80 |       768.80 |       770.10 |                  5.00 |                    5.00 |     27 |     1.3707 |
|        1 |          0 |           768.40 |       768.40 |       768.40 |                  5.00 |                    5.00 |     30 |     1.4166 |
|        1 |          1 |           768.40 |       768.40 |       768.40 |                  5.00 |                    5.00 |     30 |     1.4777 |
|        1 |          2 |           768.40 |       768.40 |       768.40 |                  5.00 |                    5.00 |     30 |     1.5165 |
|        1 |          3 |           768.40 |       768.40 |       768.40 |                  5.00 |                    5.00 |     30 |     1.6002 |
|        1 |          4 |           768.40 |       768.40 |       776.10 |                  5.00 |                    5.00 |     34 |     1.6668 |
|        1 |          5 |           768.40 |       768.40 |       777.40 |                  5.00 |                    5.00 |     35 |     1.7235 |
|        1 |          6 |           768.40 |       768.40 |       768.80 |                  5.00 |                    5.00 |     35 |     1.7934 |
|        1 |          7 |           768.40 |       768.40 |       768.80 |                  5.00 |                    5.00 |     35 |     1.8316 |
|        1 |          8 |           768.40 |       768.40 |       768.80 |                  5.00 |                    5.00 |     35 |     1.8698 |
|        1 |          9 |           768.40 |       768.40 |       768.80 |                  5.00 |                    5.00 |     35 |     1.9120 |
|        1 |         10 |           768.40 |       768.40 |       768.80 |                  5.00 |                    5.00 |     35 |     1.9554 |
|        1 |         11 |           768.40 |       768.40 |       798.80 |                  5.00 |                    5.00 |     40 |     2.0166 |
|        1 |         12 |           768.40 |       768.40 |       797.50 |                  5.00 |                    5.00 |     44 |     2.0776 |
|        1 |         13 |           768.40 |       768.40 |       797.40 |                  5.00 |                    5.00 |     44 |     2.1413 |
|        1 |         14 |           768.40 |       768.40 |       797.40 |                  5.00 |                    5.00 |     44 |     2.1729 |
|        1 |         15 |           768.40 |       768.40 |       807.50 |                  5.00 |                    5.00 |     45 |     2.2237 |
|        1 |         16 |           768.40 |       768.40 |       776.20 |                  5.00 |                    5.00 |     47 |     2.2968 |
|        1 |         17 |           768.40 |       768.40 |       776.20 |                  5.00 |                    5.00 |     47 |     2.3409 |
|        1 |          0 |           763.00 |       763.00 |       763.00 |                  5.00 |                    5.00 |     49 |     2.4848 |
|        1 |          1 |           763.00 |       763.00 |       763.00 |                  5.00 |                    5.00 |     49 |     2.5311 |
|        1 |          2 |           763.00 |       763.00 |       763.00 |                  5.00 |                    5.00 |     49 |     2.5832 |
