Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/R102_100_025.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |          1698.00 |      1689.61 |      1689.61 |                 28.87 |                   12.97 |     32 |     0.2474 |
|        1 |          2 |          1698.00 |      1689.61 |      1695.65 |                 53.50 |                   11.47 |     33 |     0.6951 |
|        1 |          3 |          1698.00 |      1673.97 |      1673.97 |                 51.09 |                   39.39 |     42 |     0.8049 |
|        1 |          4 |          1698.00 |      1673.97 |      1675.40 |                 31.22 |                   65.43 |     42 |     0.8512 |
|        1 |          5 |          1698.00 |      1673.97 |      1677.84 |                 24.48 |                   86.29 |     42 |     0.9153 |
|        1 |          6 |          1698.00 |      1673.97 |      1679.72 |                 18.79 |                   96.88 |     44 |     0.9941 |
|        1 |          7 |          1698.00 |      1673.97 |      1679.66 |                 19.11 |                   92.78 |     44 |     1.0515 |
|        1 |          8 |          1698.00 |      1640.40 |      1640.40 |                 29.27 |                   52.28 |     46 |     1.1156 |
|        1 |          9 |          1698.00 |      1640.40 |      1682.97 |                 51.62 |                   29.48 |     55 |     1.1692 |
|        1 |         10 |          1698.00 |      1640.40 |      1672.37 |                 27.06 |                   38.79 |     60 |     1.2656 |
|        1 |         11 |          1698.00 |      1640.40 |      1674.71 |                 27.78 |                   83.46 |     60 |     1.3331 |
|        1 |         12 |          1698.00 |      1640.40 |      1714.44 |                 55.65 |                   89.94 |     71 |     1.4307 |
|        1 |         13 |          1698.00 |      1640.40 |      1678.68 |                 37.74 |                   37.00 |     72 |     1.5717 |
|        1 |         14 |          1698.00 |      1640.40 |      1696.40 |                 50.15 |                   16.04 |     78 |     1.6819 |
|        1 |         15 |          1698.00 |      1640.40 |      1679.05 |                 27.00 |                   42.77 |     93 |     1.8515 |
|        1 |         16 |          1698.00 |      1640.40 |      1655.14 |                 41.65 |                   40.83 |    101 |     1.9696 |
