Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/RC205_100_025.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
|        1 |         37 |          1184.30 |      1184.30 |      1204.40 |                  5.00 |                    5.00 |    104 |     4.9324 |
|        1 |         38 |          1184.30 |      1184.30 |      1202.70 |                  5.00 |                    6.29 |    104 |     5.0092 |
|        1 |         39 |          1184.30 |      1184.30 |      1204.60 |                  5.00 |                    5.00 |    104 |     5.0864 |
|        1 |         40 |          1184.30 |      1184.30 |      1204.60 |                  5.00 |                    6.04 |    104 |     5.1975 |
|        1 |         41 |          1184.30 |      1184.30 |      1204.60 |                  5.00 |                    5.00 |    104 |     5.2762 |
|        1 |         42 |          1184.30 |      1184.30 |      1204.60 |                  5.00 |                    5.00 |    104 |     5.3541 |
|        1 |         43 |          1184.30 |      1184.30 |      1208.10 |                  5.00 |                    5.00 |    104 |     5.4775 |
|        1 |         44 |          1184.30 |      1184.30 |      1208.10 |                  5.00 |                    5.00 |    104 |     5.5673 |
|        1 |         45 |          1184.30 |      1184.30 |      1207.80 |                  5.00 |                    5.00 |    104 |     5.6406 |
|        1 |         46 |          1184.30 |      1184.30 |      1207.80 |                  5.00 |                    5.00 |    104 |     5.7132 |
|        1 |         47 |          1184.30 |      1184.30 |      1207.80 |                  5.00 |                    5.00 |    104 |     5.7763 |
|        1 |         48 |          1184.30 |      1184.30 |      1210.20 |                  5.00 |                    5.00 |    105 |     5.8483 |
|        1 |         49 |          1184.30 |      1184.30 |      1204.80 |                  5.00 |                    5.00 |    106 |     5.9044 |
|        1 |         50 |          1184.30 |      1184.30 |      1204.80 |                  5.00 |                    5.00 |    106 |     5.9638 |
|        1 |         51 |          1184.30 |      1184.30 |      1206.70 |                  5.00 |                    5.00 |    107 |     6.0249 |
|        1 |         52 |          1184.30 |      1184.30 |      1206.70 |                  5.00 |                    5.00 |    107 |     6.1146 |
|        1 |         53 |          1184.30 |      1184.30 |      1206.70 |                  5.00 |                    5.00 |    107 |     6.1631 |
|        1 |         54 |          1184.30 |      1184.30 |      1206.70 |                  5.00 |                    5.00 |    107 |     6.2217 |
|        1 |         55 |          1184.30 |      1184.30 |      1206.70 |                  5.00 |                    5.00 |    107 |     6.2837 |
|        1 |         56 |          1184.30 |      1184.30 |      1228.60 |                  5.00 |                    5.00 |    110 |     6.3808 |
|        1 |         57 |          1184.30 |      1184.30 |      1228.60 |                  5.00 |                    5.00 |    110 |     6.4544 |
|        1 |         58 |          1184.30 |      1184.30 |      1228.60 |                  5.00 |                    5.00 |    110 |     6.5180 |
|        1 |         59 |          1184.30 |      1184.30 |      1228.60 |                  5.00 |                    5.00 |    110 |     6.6184 |
|        1 |         60 |          1184.30 |      1184.30 |      1224.40 |                  5.00 |                    5.00 |    113 |     6.8453 |
|        1 |         61 |          1184.30 |      1184.30 |      1204.60 |                  5.00 |                    5.00 |    115 |     7.1503 |
|        1 |         62 |          1184.30 |      1184.30 |      1227.30 |                  5.00 |                    5.00 |    117 |     7.2659 |
|        1 |         63 |          1184.30 |      1184.30 |      1220.50 |                  5.00 |                    5.00 |    118 |     7.3508 |
