Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/R202_100_010.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |          1130.70 |      1130.70 |      1130.70 |                 11.76 |                   11.76 |     11 |     0.1860 |
|        1 |          2 |          1130.70 |      1130.70 |      1130.70 |                  5.00 |                    5.00 |     11 |     0.7497 |
|        1 |          3 |          1130.70 |      1128.61 |      1128.61 |                  5.00 |                    6.55 |     18 |     0.8954 |
|        1 |          4 |          1130.70 |      1128.44 |      1128.44 |                  5.00 |                    5.00 |     18 |     0.9832 |
|        1 |          5 |          1130.70 |      1120.43 |      1120.43 |                  5.00 |                    5.00 |     20 |     1.0791 |
|        1 |          6 |          1130.70 |      1120.43 |      1133.42 |                  5.00 |                    5.00 |     26 |     1.1490 |
|        1 |          7 |          1130.70 |      1120.43 |      1133.21 |                  5.00 |                    5.00 |     26 |     1.1960 |
|        1 |          0 |          1126.20 |      1120.43 |      1126.20 |                  5.00 |                    5.47 |     29 |     1.2730 |
|        1 |          1 |          1126.20 |      1120.43 |      1125.85 |                  5.00 |                    5.00 |     29 |     1.3215 |
|        1 |          2 |          1126.20 |      1120.43 |      1124.90 |                  5.00 |                    5.00 |     29 |     1.3649 |
|        1 |          3 |          1126.20 |      1120.43 |      1125.50 |                  5.00 |                    5.89 |     29 |     1.4607 |
|        1 |          4 |          1126.20 |      1120.43 |      1126.20 |                  5.00 |                    6.82 |     29 |     1.5182 |
|        1 |          5 |          1126.20 |      1110.06 |      1110.06 |                  5.00 |                    6.58 |     32 |     1.5932 |
|        1 |          6 |          1126.20 |      1094.10 |      1094.10 |                  5.00 |                    5.00 |     38 |     1.6987 |
|        1 |          7 |          1126.20 |      1094.10 |      1094.30 |                  5.00 |                    5.00 |     38 |     1.7456 |
|        1 |          0 |          1092.00 |      1092.00 |      1092.00 |                  5.00 |                    5.00 |     40 |     1.8217 |
|        1 |          1 |          1092.00 |      1092.00 |      1104.30 |                  5.00 |                    5.00 |     42 |     1.8796 |
|        1 |          2 |          1092.00 |      1092.00 |      1092.00 |                  5.00 |                    6.81 |     42 |     1.9270 |
|        1 |          0 |          1088.60 |      1088.60 |      1088.60 |                  5.00 |                    5.46 |     44 |     2.0184 |
|        1 |          1 |          1088.60 |      1088.60 |      1097.50 |                  5.00 |                    5.00 |     50 |     2.1013 |
|        1 |          2 |          1088.60 |      1088.60 |      1111.90 |                  5.00 |                    5.00 |     54 |     2.1536 |
|        1 |          3 |          1088.60 |      1088.60 |      1111.90 |                  5.00 |                    5.00 |     54 |     2.2259 |
|        1 |          4 |          1088.60 |      1088.60 |      1100.50 |                  5.00 |                    5.00 |     57 |     2.3567 |
|        1 |          5 |          1088.60 |      1088.60 |      1104.71 |                  5.00 |                    5.00 |     58 |     2.4378 |
|        1 |          6 |          1088.60 |      1088.60 |      1103.60 |                  5.00 |                    5.00 |     61 |     2.5215 |
|        1 |          7 |          1088.60 |      1088.60 |      1096.50 |                  5.00 |                    5.98 |     63 |     2.5961 |
|        1 |          8 |          1088.60 |      1088.60 |      1092.40 |                  5.00 |                    6.07 |     66 |     2.6805 |
|        1 |          9 |          1088.60 |      1086.99 |      1086.99 |                  5.00 |                    6.17 |     66 |     2.7322 |
|        1 |         10 |          1088.60 |      1086.99 |      1087.88 |                  5.00 |                    5.00 |     66 |     2.7856 |
|        1 |         11 |          1088.60 |      1086.99 |      1109.30 |                  5.00 |                    6.21 |     68 |     2.8439 |
|        1 |          0 |          1070.10 |      1070.10 |      1070.10 |                  5.00 |                    5.00 |     70 |     2.9242 |
|        1 |          0 |          1060.40 |      1060.40 |      1060.40 |                  5.00 |                    5.00 |     72 |     3.0194 |
|        1 |          1 |          1060.40 |      1060.40 |      1060.40 |                  5.00 |                    7.90 |     72 |     3.0871 |
|        1 |          2 |          1060.40 |      1060.40 |      1060.40 |                  5.00 |                    5.63 |     72 |     3.1398 |
|        1 |          3 |          1060.40 |      1060.40 |      1060.40 |                  5.00 |                    5.36 |     72 |     3.1752 |
|        1 |          4 |          1060.40 |      1060.40 |      1087.40 |                  5.00 |                    5.00 |     76 |     3.2293 |
|        1 |          5 |          1060.40 |      1060.40 |      1087.40 |                  5.00 |                    5.00 |     76 |     3.2943 |
|        1 |          6 |          1060.40 |      1060.40 |      1096.00 |                  5.00 |                    5.00 |     79 |     3.3413 |
|        1 |          7 |          1060.40 |      1060.40 |      1101.74 |                  5.00 |                    5.03 |     85 |     3.3999 |
|        1 |          8 |          1060.40 |      1060.40 |      1098.32 |                  5.00 |                    5.29 |     89 |     3.5494 |
|        1 |          9 |          1060.40 |      1060.40 |      1070.90 |                  5.00 |                    5.00 |     94 |     3.6740 |
|        1 |         10 |          1060.40 |      1060.40 |      1070.90 |                  5.00 |                    5.98 |     94 |     3.7240 |
|        1 |         11 |          1060.40 |      1060.40 |      1082.60 |                  5.00 |                    5.00 |     96 |     3.8200 |
|        1 |         12 |          1060.40 |      1060.40 |      1084.70 |                  5.00 |                    5.00 |     98 |     3.8606 |
|        1 |         13 |          1060.40 |      1060.40 |      1094.50 |                  5.00 |                    5.68 |    102 |     3.9350 |
|        1 |         14 |          1060.40 |      1060.40 |      1092.19 |                  5.00 |                    5.00 |    107 |     4.1007 |
|        1 |         15 |          1060.40 |      1060.40 |      1089.74 |                  5.00 |                    6.33 |    107 |     4.1491 |
|        1 |         16 |          1060.40 |      1060.40 |      1092.00 |                  5.00 |                    6.29 |    107 |     4.2063 |
|        1 |         17 |          1060.40 |      1060.40 |      1092.00 |                  5.00 |                    5.00 |    107 |     4.2388 |
|        1 |         18 |          1060.40 |      1060.40 |      1102.40 |                  5.00 |                    5.00 |    111 |     4.3080 |
|        1 |         19 |          1060.40 |      1060.40 |      1077.60 |                  5.00 |                    6.59 |    114 |     4.4189 |
|        1 |         20 |          1060.40 |      1060.40 |      1079.94 |                  5.00 |                    6.62 |    116 |     4.5083 |
|        1 |         21 |          1060.40 |      1060.40 |      1079.00 |                  5.00 |                    5.96 |    116 |     4.6332 |
|        1 |         22 |          1060.40 |      1060.40 |      1066.31 |                  5.00 |                    5.00 |    121 |     4.7738 |
|        1 |         23 |          1060.40 |      1060.40 |      1066.40 |                  5.00 |                    5.00 |    125 |     4.8627 |
|        1 |         24 |          1060.40 |      1060.40 |      1063.50 |                  5.00 |                    5.00 |    127 |     4.9208 |
|        1 |         25 |          1060.40 |      1060.40 |      1063.50 |                  5.00 |                    5.00 |    127 |     4.9835 |
|        1 |         26 |          1060.40 |      1060.40 |      1063.50 |                  5.00 |                    5.00 |    127 |     5.0370 |
|        1 |         27 |          1060.40 |      1060.40 |      1064.70 |                  5.00 |                    5.00 |    129 |     5.1002 |
|        1 |         28 |          1060.40 |      1060.40 |      1062.00 |                  5.00 |                    5.00 |    131 |     5.1614 |
|        1 |          0 |          1050.50 |      1050.50 |      1050.50 |                  5.00 |                    5.00 |    135 |     5.2619 |
|        1 |          1 |          1050.50 |      1050.50 |      1055.60 |                  5.00 |                    6.53 |    136 |     5.3202 |
|        1 |          2 |          1050.50 |      1050.50 |      1055.60 |                  5.00 |                    5.00 |    136 |     5.3694 |
|        1 |          3 |          1050.50 |      1050.50 |      1051.40 |                  5.00 |                    5.00 |    138 |     5.4526 |
|        1 |          4 |          1050.50 |      1050.50 |      1051.40 |                  5.00 |                    5.00 |    138 |     5.5076 |
|        1 |          5 |          1050.50 |      1050.50 |      1051.40 |                  5.00 |                    7.14 |    138 |     5.5832 |
|        1 |          6 |          1050.50 |      1050.50 |      1050.70 |                  5.00 |                    5.00 |    140 |     5.6356 |
|        1 |          7 |          1050.50 |      1050.50 |      1055.40 |                  5.00 |                    5.14 |    146 |     5.6946 |
|        1 |          8 |          1050.50 |      1050.50 |      1052.60 |                  5.00 |                    5.00 |    148 |     5.7679 |
|        1 |          9 |          1050.50 |      1050.50 |      1061.30 |                  5.00 |                    5.00 |    150 |     5.8367 |
|        1 |         10 |          1050.50 |      1050.50 |      1061.30 |                  5.00 |                    5.00 |    150 |     5.8984 |
|        1 |         11 |          1050.50 |      1050.50 |      1058.60 |                  5.00 |                    5.00 |    151 |     5.9869 |
|        1 |         12 |          1050.50 |      1050.50 |      1058.60 |                  5.00 |                    5.00 |    151 |     6.0842 |
|        1 |         13 |          1050.50 |      1050.50 |      1058.60 |                  5.00 |                    5.00 |    151 |     6.2092 |
