Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/R102_100_010.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |          1 |          1503.90 |      1503.90 |      1506.90 |                 11.18 |                   12.86 |     23 |     0.2401 |
|        1 |          2 |          1503.90 |      1503.90 |      1524.70 |                  6.43 |                   16.80 |     28 |     0.7744 |
|        1 |          3 |          1503.90 |      1503.90 |      1521.51 |                  5.00 |                   11.60 |     30 |     0.9742 |
|        1 |          4 |          1503.90 |      1503.90 |      1508.75 |                  5.00 |                   10.36 |     32 |     1.0323 |
|        1 |          5 |          1503.90 |      1503.90 |      1507.98 |                  5.00 |                   11.52 |     32 |     1.1109 |
|        1 |          6 |          1503.90 |      1503.90 |      1509.03 |                  5.00 |                   11.26 |     32 |     1.1650 |
|        1 |          7 |          1503.90 |      1503.90 |      1508.53 |                  9.08 |                   17.78 |     32 |     1.2277 |
|        1 |          8 |          1503.90 |      1503.90 |      1513.12 |                  6.57 |                   19.96 |     32 |     1.3066 |
|        1 |          9 |          1503.90 |      1503.90 |      1534.00 |                  5.00 |                   19.30 |     37 |     1.3742 |
|        1 |         10 |          1503.90 |      1503.90 |      1516.70 |                 10.85 |                   10.09 |     44 |     1.5188 |
|        1 |         11 |          1503.90 |      1503.90 |      1515.70 |                  7.86 |                    7.76 |     44 |     1.5865 |
|        1 |         12 |          1503.90 |      1503.90 |      1519.08 |                  5.26 |                   15.26 |     47 |     1.6913 |
|        1 |         13 |          1503.90 |      1503.90 |      1532.70 |                  5.00 |                   13.07 |     53 |     1.8278 |
|        1 |         14 |          1503.90 |      1503.90 |      1511.37 |                  5.00 |                   13.52 |     62 |     1.9376 |
|        1 |         15 |          1503.90 |      1503.90 |      1509.63 |                  5.00 |                   22.87 |     63 |     2.0235 |
|        1 |         16 |          1503.90 |      1503.90 |      1513.76 |                  7.67 |                   37.23 |     66 |     2.0728 |
|        1 |         17 |          1503.90 |      1494.92 |      1494.92 |                 10.74 |                   24.03 |     72 |     2.2196 |
|        1 |         18 |          1503.90 |      1494.92 |      1500.35 |                  8.77 |                   13.96 |     73 |     2.2822 |
|        1 |         19 |          1503.90 |      1494.92 |      1498.71 |                  5.63 |                   10.95 |     73 |     2.3461 |
|        1 |         20 |          1503.90 |      1494.92 |      1495.26 |                  5.00 |                    9.30 |     73 |     2.4126 |
|        1 |         21 |          1503.90 |      1494.87 |      1494.87 |                  7.51 |                   12.88 |     74 |     2.4875 |
|        1 |         22 |          1503.90 |      1494.87 |      1496.68 |                 15.67 |                   14.18 |     75 |     2.5603 |
|        1 |         23 |          1503.90 |      1494.87 |      1504.77 |                 13.99 |                   10.16 |     75 |     2.6315 |
|        1 |         24 |          1503.90 |      1494.87 |      1521.44 |                 28.93 |                   14.08 |     75 |     2.7042 |
|        1 |         25 |          1503.90 |      1494.87 |      1519.34 |                 17.99 |                   14.73 |     77 |     2.8076 |
|        1 |         26 |          1503.90 |      1494.87 |      1508.46 |                  5.00 |                   15.83 |     80 |     2.9726 |
|        1 |         27 |          1503.90 |      1494.87 |      1509.64 |                  7.08 |                   21.27 |     82 |     3.0528 |
|        1 |         28 |          1503.90 |      1494.87 |      1530.63 |                 11.77 |                   37.02 |     86 |     3.1609 |
|        1 |         29 |          1503.90 |      1494.87 |      1547.35 |                 21.80 |                   47.85 |     86 |     3.2163 |
|        1 |         30 |          1503.90 |      1494.87 |      1557.10 |                 10.55 |                   43.06 |     86 |     3.3238 |
|        1 |         31 |          1503.90 |      1494.87 |      1523.88 |                  5.00 |                   39.09 |     89 |     3.4427 |
|        1 |         32 |          1503.90 |      1494.87 |      1525.71 |                  5.00 |                   30.07 |     89 |     3.4908 |
|        1 |         33 |          1503.90 |      1494.87 |      1503.95 |                  5.00 |                  100.22 |     94 |     3.5953 |
|        1 |         34 |          1503.90 |      1494.87 |      1537.42 |                  6.16 |                  191.36 |     98 |     3.6529 |
|        1 |         35 |          1503.90 |      1494.87 |      1534.80 |                  5.00 |                  122.66 |    102 |     3.7337 |
|        1 |         36 |          1503.90 |      1494.87 |      1537.70 |                  5.00 |                   61.26 |    104 |     3.8130 |
|        1 |         37 |          1503.90 |      1494.87 |      1521.10 |                  5.00 |                   30.87 |    111 |     3.9158 |
|        1 |         38 |          1503.90 |      1494.87 |      1518.67 |                  7.58 |                    9.78 |    116 |     4.0909 |
|        1 |         39 |          1503.90 |      1494.87 |      1520.92 |                  6.83 |                   10.34 |    116 |     4.1769 |
|        1 |         40 |          1503.90 |      1494.87 |      1514.03 |                 24.91 |                    5.75 |    122 |     4.3118 |
|        1 |         41 |          1503.90 |      1494.87 |      1520.94 |                 15.94 |                   11.19 |    128 |     4.4428 |
|        1 |         42 |          1503.90 |      1494.87 |      1536.70 |                  7.81 |                   11.49 |    128 |     4.5107 |
|        1 |         43 |          1503.90 |      1494.87 |      1536.70 |                  5.00 |                   24.22 |    128 |     4.5936 |
|        1 |         44 |          1503.90 |      1494.87 |      1528.88 |                  5.00 |                   37.50 |    128 |     4.6427 |
|        1 |         45 |          1503.90 |      1494.87 |      1534.26 |                  7.23 |                   42.58 |    128 |     4.6986 |
|        1 |         46 |          1503.90 |      1494.87 |      1530.52 |                 13.00 |                   50.10 |    130 |     4.8404 |
|        1 |         47 |          1503.90 |      1494.87 |      1512.20 |                  9.30 |                   19.28 |    132 |     4.9379 |
|        1 |         48 |          1503.90 |      1494.87 |      1526.90 |                  5.00 |                   15.38 |    134 |     5.0392 |
|        1 |         49 |          1503.90 |      1494.87 |      1526.90 |                  5.00 |                   14.72 |    134 |     5.1121 |
|        1 |         50 |          1503.90 |      1494.87 |      1526.90 |                  5.00 |                   14.81 |    134 |     5.1836 |
|        1 |         51 |          1503.90 |      1494.87 |      1517.71 |                  5.00 |                   21.39 |    140 |     5.4309 |
|        1 |         52 |          1503.90 |      1494.87 |      1525.37 |                  5.00 |                   21.51 |    141 |     5.5134 |
|        1 |         53 |          1503.90 |      1494.87 |      1524.27 |                  5.00 |                   38.31 |    143 |     5.5709 |
|        1 |         54 |          1503.90 |      1494.87 |      1531.43 |                  5.00 |                   38.59 |    146 |     5.6257 |
|        1 |         55 |          1503.90 |      1494.87 |      1532.20 |                  5.00 |                   77.44 |    147 |     5.6882 |
|        1 |         56 |          1503.90 |      1494.87 |      1520.12 |                  5.00 |                  109.53 |    148 |     5.7551 |
|        1 |         57 |          1503.90 |      1494.87 |      1523.07 |                  5.00 |                  159.76 |    148 |     5.8051 |
|        1 |         58 |          1503.90 |      1494.87 |      1511.12 |                 11.88 |                   78.19 |    150 |     5.8930 |
|        1 |         59 |          1503.90 |      1494.87 |      1518.58 |                  9.86 |                   34.21 |    153 |     6.0288 |
|        1 |         60 |          1503.90 |      1494.87 |      1518.38 |                 20.59 |                   16.59 |    157 |     6.1044 |
|        1 |         61 |          1503.90 |      1494.87 |      1517.50 |                  9.69 |                   11.19 |    161 |     6.1824 |
|        1 |         62 |          1503.90 |      1482.53 |      1482.53 |                 22.80 |                   15.34 |    162 |     6.2676 |
|        1 |         63 |          1503.90 |      1482.53 |      1497.31 |                 15.23 |                   11.11 |    164 |     6.3260 |
|        1 |         64 |          1503.90 |      1482.53 |      1500.70 |                 27.13 |                   13.26 |    169 |     6.3867 |
|        1 |         65 |          1503.90 |      1482.53 |      1507.23 |                 19.83 |                   13.89 |    170 |     6.4478 |
|        1 |         66 |          1503.90 |      1482.53 |      1517.05 |                 25.36 |                   27.04 |    172 |     6.5340 |
|        1 |         67 |          1503.90 |      1482.53 |      1529.00 |                 20.70 |                   21.63 |    173 |     6.5963 |
|        1 |         68 |          1503.90 |      1482.53 |      1521.48 |                 29.88 |                   31.22 |    173 |     6.6452 |
|        1 |         69 |          1503.90 |      1482.53 |      1503.42 |                  5.00 |                   26.51 |    174 |     6.8886 |
|        1 |         70 |          1503.90 |      1482.53 |      1504.69 |                  5.00 |                   54.82 |    174 |     6.9516 |
|        1 |         71 |          1503.90 |      1482.53 |      1507.78 |                  5.00 |                  102.60 |    174 |     7.0099 |
|        1 |         72 |          1503.90 |      1482.53 |      1543.80 |                  5.00 |                  135.20 |    175 |     7.0952 |
|        1 |         73 |          1503.90 |      1482.53 |      1540.10 |                  5.00 |                  103.75 |    177 |     7.1966 |
|        1 |         74 |          1503.90 |      1482.53 |      1518.30 |                  5.00 |                   41.98 |    181 |     7.2868 |
|        1 |         75 |          1503.90 |      1482.53 |      1519.40 |                  5.69 |                   21.15 |    183 |     7.3898 |
|        1 |          0 |          1494.10 |      1482.53 |      1494.10 |                  5.00 |                   10.78 |    184 |     7.4663 |
|        1 |          1 |          1494.10 |      1482.53 |      1494.10 |                  5.00 |                    8.27 |    184 |     7.5620 |
|        1 |          2 |          1494.10 |      1482.53 |      1494.10 |                  5.00 |                    7.10 |    184 |     7.6270 |
|        1 |          3 |          1494.10 |      1482.53 |      1495.18 |                  5.00 |                    6.79 |    187 |     7.7261 |
|        1 |          4 |          1494.10 |      1482.53 |      1487.96 |                  9.08 |                    5.58 |    187 |     7.7883 |
|        1 |          5 |          1494.10 |      1479.05 |      1479.05 |                 16.62 |                   10.33 |    188 |     7.8960 |
|        1 |          6 |          1494.10 |      1479.05 |      1491.40 |                 10.67 |                   19.53 |    190 |     7.9547 |
|        1 |          7 |          1494.10 |      1479.05 |      1489.03 |                 19.38 |                   15.94 |    190 |     8.0187 |
|        1 |          8 |          1494.10 |      1479.05 |      1503.17 |                 31.25 |                    9.84 |    190 |     8.0627 |
|        1 |          9 |          1494.10 |      1479.05 |      1497.01 |                 25.19 |                    9.12 |    191 |     8.1629 |
|        1 |         10 |          1494.10 |      1479.05 |      1496.80 |                 11.74 |                   14.69 |    191 |     8.2381 |
|        1 |         11 |          1494.10 |      1479.05 |      1499.18 |                  6.42 |                   10.00 |    191 |     8.3145 |
|        1 |         12 |          1494.10 |      1479.05 |      1500.12 |                  9.55 |                   17.57 |    193 |     8.4507 |
|        1 |         13 |          1494.10 |      1479.05 |      1507.47 |                 17.00 |                   16.50 |    193 |     8.5052 |
|        1 |         14 |          1494.10 |      1479.05 |      1520.87 |                 18.67 |                   49.27 |    195 |     8.6162 |
|        1 |         15 |          1494.10 |      1479.05 |      1507.69 |                  5.00 |                  169.12 |    196 |     8.7397 |
|        1 |         16 |          1494.10 |      1479.05 |      1494.26 |                 10.13 |                   61.90 |    196 |     8.8314 |
|        1 |         17 |          1494.10 |      1479.05 |      1499.76 |                 18.41 |                   33.87 |    196 |     8.8887 |
|        1 |         18 |          1494.10 |      1479.05 |      1508.94 |                 36.22 |                   18.16 |    196 |     8.9546 |
|        1 |         19 |          1494.10 |      1479.05 |      1500.56 |                 16.04 |                   29.50 |    196 |     9.0532 |
|        1 |         20 |          1494.10 |      1479.05 |      1501.22 |                  6.69 |                   70.12 |    196 |     9.1400 |
|        1 |         21 |          1494.10 |      1479.05 |      1525.14 |                  5.00 |                  110.67 |    196 |     9.2095 |
|        1 |         22 |          1494.10 |      1479.05 |      1529.38 |                  5.00 |                   67.58 |    196 |     9.2701 |
|        1 |         23 |          1494.10 |      1479.05 |      1522.30 |                  5.00 |                   40.04 |    196 |     9.3299 |
|        1 |         24 |          1494.10 |      1479.05 |      1488.13 |                  9.55 |                   47.30 |    196 |     9.3943 |
|        1 |         25 |          1494.10 |      1479.05 |      1499.98 |                 35.15 |                   29.37 |    198 |     9.5200 |
|        1 |         26 |          1494.10 |      1479.05 |      1513.70 |                 14.81 |                   15.73 |    199 |     9.6039 |
|        1 |         27 |          1494.10 |      1479.05 |      1497.00 |                 11.26 |                   31.23 |    199 |     9.6963 |
|        1 |         28 |          1494.10 |      1479.05 |      1520.46 |                  7.30 |                   34.05 |    199 |     9.7847 |
|        1 |         29 |          1494.10 |      1479.05 |      1515.50 |                  5.00 |                   24.81 |    199 |     9.9010 |
|        1 |         30 |          1494.10 |      1479.05 |      1533.79 |                  5.00 |                   27.25 |    201 |    10.0197 |
|        1 |         31 |          1494.10 |      1479.05 |      1534.26 |                  5.00 |                   30.60 |    202 |    10.0902 |
|        1 |         32 |          1494.10 |      1479.05 |      1542.05 |                  9.93 |                   57.81 |    204 |    10.1734 |
|        1 |         33 |          1494.10 |      1479.05 |      1489.59 |                 18.97 |                   23.96 |    206 |    10.4114 |
|        1 |         34 |          1494.10 |      1479.05 |      1513.91 |                 31.80 |                   28.03 |    206 |    10.4887 |
|        1 |         35 |          1494.10 |      1479.05 |      1526.61 |                 21.90 |                   26.58 |    206 |    10.5419 |
|        1 |         36 |          1494.10 |      1479.05 |      1512.50 |                  7.60 |                   11.96 |    209 |    10.7783 |
|        1 |         37 |          1494.10 |      1479.05 |      1512.50 |                  5.00 |                   15.58 |    209 |    10.8821 |
|        1 |         38 |          1494.10 |      1479.05 |      1509.70 |                  5.00 |                    6.97 |    209 |    10.9661 |
|        1 |         39 |          1494.10 |      1479.05 |      1507.78 |                  5.00 |                   14.55 |    211 |    11.0458 |
|        1 |         40 |          1494.10 |      1479.05 |      1511.32 |                  5.00 |                   16.36 |    211 |    11.1053 |
|        1 |         41 |          1494.10 |      1479.05 |      1512.08 |                  5.00 |                   12.45 |    211 |    11.1764 |
|        1 |         42 |          1494.10 |      1479.05 |      1512.92 |                  5.00 |                   10.02 |    212 |    11.3215 |
|        1 |         43 |          1494.10 |      1479.05 |      1511.17 |                  5.00 |                    9.50 |    212 |    11.3899 |
|        1 |         44 |          1494.10 |      1479.05 |      1511.29 |                  5.00 |                   10.46 |    212 |    11.4602 |
|        1 |         45 |          1494.10 |      1479.05 |      1511.12 |                  5.51 |                   13.66 |    212 |    11.5181 |
|        1 |         46 |          1494.10 |      1479.05 |      1511.32 |                  5.00 |                   21.36 |    212 |    11.5892 |
|        1 |         47 |          1494.10 |      1479.05 |      1513.79 |                  5.00 |                   33.39 |    212 |    11.6490 |
|        1 |         48 |          1494.10 |      1479.05 |      1529.40 |                  5.00 |                   29.22 |    212 |    11.7614 |
|        1 |         49 |          1494.10 |      1479.05 |      1529.40 |                  5.00 |                   17.68 |    212 |    11.8143 |
|        1 |         50 |          1494.10 |      1479.05 |      1513.03 |                  5.00 |                   15.78 |    212 |    11.8762 |
|        1 |         51 |          1494.10 |      1479.05 |      1534.10 |                 12.12 |                   15.25 |    213 |    11.9717 |
|        1 |         52 |          1494.10 |      1479.05 |      1540.87 |                 25.31 |                    9.78 |    213 |    12.0438 |
|        1 |         53 |          1494.10 |      1479.05 |      1564.18 |                 31.12 |                   10.25 |    216 |    12.1060 |
|        1 |         54 |          1494.10 |      1479.05 |      1570.84 |                 25.14 |                   10.96 |    217 |    12.1706 |
|        1 |         55 |          1494.10 |      1479.05 |      1563.25 |                 19.73 |                   10.50 |    217 |    12.2204 |
|        1 |         56 |          1494.10 |      1479.05 |      1542.02 |                 22.59 |                   19.82 |    219 |    12.3211 |
|        1 |         57 |          1494.10 |      1479.05 |      1539.96 |                  6.62 |                   41.26 |    221 |    12.4563 |
|        1 |         58 |          1494.10 |      1479.05 |      1538.58 |                  6.28 |                   61.98 |    222 |    12.5173 |
|        1 |         59 |          1494.10 |      1479.05 |      1540.71 |                  8.03 |                   37.84 |    222 |    12.5824 |
|        1 |         60 |          1494.10 |      1479.05 |      1493.44 |                 16.28 |                   65.33 |    222 |    12.6590 |
