instance,seed,cost,time
CMT11,10,99999,99999
CMT12,1,99999,99999
CMT12,2,99999,99999
CMT12,3,99999,99999
CMT12,4,99999,99999
CMT12,5,99999,99999
CMT12,6,99999,99999
CMT12,7,99999,99999
CMT12,8,99999,99999
CMT12,9,99999,99999
CMT12,10,99999,99999
CMT13,1,99999,99999
CMT13,2,99999,99999
CMT13,3,99999,99999
CMT13,4,99999,99999
CMT13,5,99999,99999
CMT13,6,99999,99999
CMT13,7,99999,99999
CMT13,8,99999,99999
CMT13,9,99999,99999
CMT13,10,99999,99999
CMT14,1,99999,99999
CMT14,2,99999,99999
CMT14,3,99999,99999
CMT14,4,99999,99999
CMT14,5,99999,99999
CMT14,6,99999,99999
CMT14,7,99999,99999
CMT14,8,99999,99999
CMT14,9,99999,99999
CMT14,10,99999,99999
CMT2,1,99999,99999
CMT2,2,99999,99999
CMT2,3,99999,99999
CMT2,4,99999,99999
CMT2,5,99999,99999
CMT2,6,99999,99999
CMT2,7,99999,99999
CMT2,8,99999,99999
CMT2,9,99999,99999
CMT2,10,99999,99999
CMT3,1,99999,99999
CMT3,2,99999,99999
CMT3,3,99999,99999
CMT3,4,99999,99999
CMT3,5,99999,99999
CMT3,6,99999,99999
CMT3,7,99999,99999
CMT3,8,99999,99999
CMT3,9,99999,99999
CMT3,10,99999,99999
CMT4,1,99999,99999
CMT4,2,99999,99999
CMT4,3,99999,99999
CMT4,4,99999,99999
CMT4,5,99999,99999
CMT4,6,99999,99999
CMT4,7,99999,99999
CMT4,8,99999,99999
CMT4,9,99999,99999
CMT4,10,99999,99999
CMT5,1,99999,99999
CMT5,2,99999,99999
CMT5,3,99999,99999
CMT5,4,99999,99999
CMT5,5,99999,99999
CMT5,6,99999,99999
CMT5,7,99999,99999
CMT5,8,99999,99999
CMT5,9,99999,99999
CMT5,10,99999,99999
CMT6,1,99999,99999
CMT6,2,99999,99999
CMT6,3,99999,99999
CMT6,4,99999,99999
CMT6,5,99999,99999
CMT6,6,99999,99999
CMT6,7,99999,99999
CMT6,8,99999,99999
CMT6,9,99999,99999
CMT6,10,99999,99999
CMT7,1,99999,99999
CMT7,2,99999,99999
CMT7,3,99999,99999
CMT7,4,99999,99999
CMT7,5,99999,99999
CMT7,6,99999,99999
CMT7,7,99999,99999
CMT7,8,99999,99999
CMT7,9,99999,99999
CMT7,10,99999,99999
CMT8,1,99999,99999
CMT8,2,99999,99999
CMT8,3,99999,99999
CMT8,4,99999,99999
CMT8,5,99999,99999
CMT8,6,99999,99999
CMT8,7,99999,99999
CMT8,8,99999,99999
CMT8,9,99999,99999
CMT8,10,99999,99999
CMT9,1,99999,99999
CMT9,2,99999,99999
CMT9,3,99999,99999
CMT9,4,99999,99999
CMT9,5,99999,99999
CMT9,6,99999,99999
CMT9,7,99999,99999
CMT9,8,99999,99999
CMT9,9,99999,99999
CMT9,10,99999,99999
Li_21,1,99999,99999
Li_21,2,99999,99999
Li_21,3,99999,99999
Li_21,4,99999,99999
Li_21,5,99999,99999
Li_21,6,99999,99999
Li_21,7,99999,99999
Li_21,8,99999,99999
Li_21,9,99999,99999
Li_21,10,99999,99999
Li_22,1,99999,99999
Li_22,2,99999,99999
Li_22,3,99999,99999
Li_22,4,99999,99999
Li_22,5,99999,99999
Li_22,6,99999,99999
Li_22,7,99999,99999
Li_22,8,99999,99999
Li_22,9,99999,99999
Li_22,10,99999,99999
Li_23,1,99999,99999
Li_23,2,99999,99999
Li_23,3,99999,99999
Li_23,4,99999,99999
Li_23,5,99999,99999
Li_23,6,99999,99999
Li_23,7,99999,99999
Li_23,8,99999,99999
Li_23,9,99999,99999
Li_23,10,99999,99999
Li_24,1,99999,99999
Li_24,2,99999,99999
Li_24,3,99999,99999
Li_24,4,99999,99999
Li_24,5,99999,99999
Li_24,6,99999,99999
Li_24,7,99999,99999
Li_24,8,99999,99999
Li_24,9,99999,99999
Li_24,10,99999,99999
Li_25,1,99999,99999
Li_25,2,99999,99999
Li_25,3,99999,99999
Li_25,4,99999,99999
Li_25,5,99999,99999
Li_25,6,99999,99999
Li_25,7,99999,99999
Li_25,8,99999,99999
Li_25,9,99999,99999
Li_25,10,99999,99999
Li_26,1,99999,99999
Li_26,2,99999,99999
Li_26,3,99999,99999
Li_26,4,99999,99999
Li_26,5,99999,99999
Li_26,6,99999,99999
Li_26,7,99999,99999
Li_26,8,99999,99999
Li_26,9,99999,99999
Li_26,10,99999,99999
Li_27,1,99999,99999
Li_27,2,99999,99999
Li_27,3,99999,99999
Li_27,4,99999,99999
Li_27,5,99999,99999
Li_27,6,99999,99999
Li_27,7,99999,99999
Li_27,8,99999,99999
Li_27,9,99999,99999
Li_27,10,99999,99999
Li_28,1,99999,99999
Li_28,2,99999,99999
Li_28,3,99999,99999
Li_28,4,99999,99999
Li_28,5,99999,99999
Li_28,6,99999,99999
Li_28,7,99999,99999
Li_28,8,99999,99999
Li_28,9,99999,99999
Li_28,10,99999,99999
Li_29,1,99999,99999
Li_29,2,99999,99999
Li_29,3,99999,99999
Li_29,4,99999,99999
Li_29,5,99999,99999
Li_29,6,99999,99999
Li_29,7,99999,99999
Li_29,8,99999,99999
Li_29,9,99999,99999
Li_29,10,99999,99999
Li_30,1,99999,99999
Li_30,2,99999,99999
Li_30,3,99999,99999
Li_30,4,99999,99999
Li_30,5,99999,99999
Li_30,6,99999,99999
Li_30,7,99999,99999
Li_30,8,99999,99999
Li_30,9,99999,99999
Li_30,10,99999,99999
Li_31,1,99999,99999
Li_31,2,99999,99999
Li_31,3,99999,99999
Li_31,4,99999,99999
Li_31,5,99999,99999
Li_31,6,99999,99999
Li_31,7,99999,99999
Li_31,8,99999,99999
Li_31,9,99999,99999
Li_31,10,99999,99999
Li_32,1,99999,99999
Li_32,2,99999,99999
Li_32,3,99999,99999
Li_32,4,99999,99999
Li_32,5,99999,99999
Li_32,6,99999,99999
Li_32,7,99999,99999
Li_32,8,99999,99999
Li_32,9,99999,99999
Li_32,10,99999,99999
