Problem,Set,Instance,BKS,Ref,BestRef,AvgRef,TimeRef,BestGeneric,AvgGeneric,TimeGeneric,N,TStarGeneric
VRPSPD,MG,R1_4_1,9519.45,FSPD100k,9533.0628,9562.0019,30.032,9636.632,9670.0827,371.498,400,371.4672
VRPSPD,MG,R2_2_1,1665.58,FSPD100k,1665.58,1665.58,40.989,1666.0854,1670.3071,411.2756,200,411.2756
VRPSPD,MG,R2_4_1,3546.49,FSPD100k,3546.49,3552.7318,36.358,3580.0464,3630.9234,364.8668,400,364.866
VRPSPD,MG,RC1_2_1,3303.7,FSPD100k,3307.5653,3317.8729,29.017,3316.0522,3322.0325,350.3032,200,350.3026
VRPSPD,MG,RC1_4_1,9447.53,FSPD100k,9478.2345,9497.5074,31.311,9643.8075,9655.9982,373.3526,400,373.35
VRPSPD,MG,RC2_2_1,1560.0,FSPD100k,1560.0,1560.0,43.277,1559.9974,1560.7477,434.4172,200,434.4166
VRPSPD,MG,RC2_4_1,3403.7,FSPD100k,3403.7,3403.7,41.148,3446.9009,3483.2862,425.3064,400,425.3052
VRPSPD,MG,c101,1220.18,FSPD100k,1220.9853,1222.8278,32.057,1220.1833,1220.1833,351.2254,100,351.225
VRPSPD,MG,c201,662.07,FSPD100k,662.07,662.07,42.832,662.0667,662.0667,438.5996,100,10.4344
VRPSPD,MG,r101,1009.95,FSPD100k,1009.95,1010.0813,23.357,1009.9522,1009.9522,261.6956,100,261.6778
VRPSPD,MG,r201,666.2,FSPD100k,666.2067,666.2067,37.703,666.2041,666.2041,395.996,100,253.5408
VRPSPD,MG,rc101,1059.32,FSPD100k,1059.32,1059.32,25.323,1059.3224,1059.3224,258.0032,100,248.2048
VRPSPD,MG,rc201,672.92,FSPD100k,672.92,672.92,31.163,672.9217,672.9217,312.5664,100,34.3862
VRPSPD,SN,sn11x,833.92,FSPD100k,833.92,833.92,29.447,840.4101,845.0578,345.1262,120,345.126
VRPSPD,SN,sn11y,833.92,FSPD100k,833.92,834.0784,29.77,837.0489,842.013,322.5714,120,322.5714
VRPSPD,SN,sn12x,662.22,FSPD100k,662.22,662.3458,26.918,662.4083,663.2671,280.772,100,280.7716
