Problem,Set,Instance,BKS,Ref,BestRef,AvgRef,TimeRef,BestGeneric,AvgGeneric,TimeGeneric,N,TStarGeneric
MDVRP,PR,PR02,1275.396,PyVRP,1275.396,1275.4,57.622,1275.3974,1275.3974,575.8808,96,384.708
MDVRP,PR,PR03,1774.886,PyVRP,1774.886,1774.89,86.436,1774.8939,1775.0702,863.6756,144,772.9198
MDVRP,PR,PR04,2035.676,PyVRP,2035.676,2035.68,115.259,2035.6801,2036.6862,1151.3708,192,1151.3692
MDVRP,PR,PR05,2307.651,PyVRP,2307.651,2310.09,144.081,2312.9061,2314.7578,1442.2738,240,1442.273
MDVRP,PR,PR06,2635.034,PyVRP,2635.034,2638.08,172.902,2637.9601,2645.3813,1728.4308,288,1698.64
MDVRP,PR,PR07,1073.626,PyVRP,1073.626,1073.63,43.217,1073.6253,1073.6253,431.949,72,47.9104
MDVRP,PR,PR08,1644.101,PyVRP,1644.101,1644.1,86.438,1644.1031,1644.7585,863.655,144,863.6548
MDVRP,PR,PR09,2132.788,PyVRP,2132.788,2133.5,129.667,2136.4244,2140.8305,1295.443,216,1295.4422
MDVRP,PR,PR10,2750.85,PyVRP,2750.85,2754.26,172.903,2752.5746,2762.2501,1727.174,288,1727.1712
HFVRP,FSMD,brandaoN1fsmd,2211.63,AILS,2217.9,2221.74,114.64,2211.6269,2213.726,1148.3006,150,1148.2998
HFVRP,FSMD,brandaoN2fsmd,2811.37,AILS,2812.28,2821.6,89.5,2814.0668,2816.2387,900.637,199,900.6362
HFVRP,FSMD,brandaoN3fsmd,2234.57,AILS,2234.57,2234.77,59.41,2234.5708,2235.002,593.8612,120,593.8606
HFVRP,FSMD,brandaoN4fsmd,1822.78,AILS,1822.78,1822.78,7.25,1822.7789,1822.8852,91.0466,100,90.839
HFVRP,FSMD,brandaoN5fsmd,2016.79,AILS,2016.79,2016.8,73.62,2021.11,2021.1525,739.4628,134,739.328
HFVRP,FSMD,c100_19fsmd,1105.44,AILS,1105.44,1105.44,31.56,1105.4392,1106.4729,328.1756,100,328.1574
HFVRP,FSMD,c100_20fsmd,1530.43,AILS,1530.52,1530.52,50.35,1531.8317,1532.4613,516.1812,100,516.1804
HFVRP,FSMD,c50_13fsmd,1491.86,AILS,1491.86,1493.42,23.81,1491.8599,1491.8599,245.8946,50,122.7376
HFVRP,FSMD,c50_14fsmd,603.21,AILS,603.21,603.21,24.54,603.2129,603.2129,245.6106,50,8.6338
HFVRP,FSMD,c50_15fsmd,999.82,AILS,999.82,1000.16,31.58,999.8236,999.8236,328.479,50,184.7972
HFVRP,FSMD,c50_16fsmd,1131.0,AILS,1131.0,1132.84,28.51,1131.0008,1131.0008,294.4492,50,54.1696
HFVRP,FSMD,c75_17fsmd,1038.6,AILS,1038.6,1038.6,0.91,1039.1525,1047.7202,9.1964,75,8.3222
HFVRP,FSMD,c75_18fsmd,1800.8,AILS,1800.8,1800.8,59.23,1800.8016,1800.9208,592.0658,75,405.361
HFVRP,FSMF,c100_19fsmf,8661.81,AILS,8661.81,8662.73,35.48,8665.2314,8668.47,414.6648,100,318.608
HFVRP,FSMF,c100_20fsmf,4029.61,AILS,4029.61,4031.78,34.08,4037.8992,4041.0321,355.4356,100,355.4326
HFVRP,FSMF,c50_13fsmf,2406.36,AILS,2406.36,2406.36,27.31,2406.3607,2406.7325,276.2464,50,276.2464
HFVRP,FSMF,c50_14fsmf,9119.03,AILS,9119.03,9119.03,24.84,9119.0319,9120.3906,324.849,50,300.2338
HFVRP,FSMF,c50_15fsmf,2586.37,AILS,2586.37,2586.42,8.64,2586.3695,2586.3695,112.2418,50,87.336
HFVRP,FSMF,c50_16fsmf,2720.43,AILS,2720.43,2720.43,18.77,2720.4332,2725.278,192.6638,50,192.6238
HFVRP,FSMF,c75_17fsmf,1734.53,AILS,1734.53,1734.69,32.62,1736.6533,1741.5629,366.075,75,366.0746
HFVRP,FSMF,c75_18fsmf,2369.65,AILS,2369.65,2375.95,38.18,2369.6464,2370.4427,384.8912,75,384.891
HFVRP,FSMFD,c100_19fsmfd,8661.81,AILS,8661.82,8663.26,40.72,8662.8562,8666.4641,467.8084,100,423.2342
HFVRP,FSMFD,c100_20fsmfd,4153.02,AILS,4153.02,4153.12,25.42,4153.0176,4154.6519,314.2264,100,314.2262
HFVRP,FSMFD,c50_13fsmfd,2964.65,AILS,2964.65,2964.83,16.6,2964.6452,2964.6452,166.6684,50,12.745
HFVRP,FSMFD,c50_14fsmfd,9126.9,AILS,9126.9,9126.9,0.97,9133.6379,9339.3518,10.0736,50,10.0734
HFVRP,FSMFD,c50_15fsmfd,2634.96,AILS,2634.96,2634.96,21.4,2634.9634,2634.9634,214.8076,50,158.6056
HFVRP,FSMFD,c50_16fsmfd,3168.92,AILS,3168.92,3168.94,25.52,3168.9154,3168.9154,289.8606,50,289.8604
HFVRP,FSMFD,c75_17fsmfd,2004.48,AILS,2004.48,2004.48,24.72,2004.4814,2007.6907,251.5306,75,251.5306
HFVRP,FSMFD,c75_18fsmfd,3147.99,AILS,3148.56,3151.4,45.59,3147.9878,3147.9878,455.6702,75,455.67
