instance,seed,cost,time,pool
c0537,2,666.1475290000001,3.287644222,479
c0537,3,659.1662650000001,4.26038534,570
c0537,4,659.166265,3.10924958,491
c0537,5,660.778615,3.352814604,487
c0537,6,659.166265,3.502572228,531
c0537,7,666.147529,3.470817154,513
c0537,8,666.1475290000001,3.713416549,523
c0537,9,659.166265,3.701130053,578
c0537,10,664.849201,3.477781782,492
c0538,1,719.4747669999999,2.656877367,369
c0538,2,719.4747669999999,2.993603881,482
c0538,3,719.474767,2.864515677,455
c0538,4,719.474767,3.361545614,581
c0538,5,719.4747670000002,3.012506274,438
c0538,6,719.4747669999999,2.587659091,301
c0538,7,719.474767,2.767741016,324
c0538,8,719.4747669999999,3.379050155,497
c0538,9,719.474767,2.721597899,379
c0538,10,719.474767,2.787639803,378
c0539,1,680.99673,3.234769071,423
c0539,2,680.99673,3.628841731,372
c0539,3,680.9967300000001,3.277616841,461
c0539,4,680.9967300000001,2.916700525,446
c0539,5,680.99673,3.806310132,495
c0539,6,680.9967300000001,3.339193192,517
c0539,7,680.9967300000001,3.460254524,436
c0539,8,680.9967300000001,3.479144114,396
c0539,9,680.9967300000001,3.894726533,490
c0539,10,680.9967300000001,3.564199281,472
c0580,1,961.496394,3.123669914,483
c0580,2,961.496394,3.263648555,527
c0580,3,961.496394,3.042835012,506
c0580,4,961.496394,3.237601699,479
c0580,5,961.4963939999999,2.867338452,444
c0580,6,961.496394,2.748254538,420
c0580,7,961.496394,3.128907956,476
c0580,8,961.496394,3.262484606,534
c0580,9,961.496394,3.73895948,533
c0580,10,961.496394,3.133653349,519
c0581,1,1049.654407,4.948596774,1030
c0581,2,1049.654407,4.316832261,939
c0581,3,1049.654407,6.349372236,1070
c0581,4,1049.654407,4.93888276,993
c0581,5,1049.654407,4.038092263,875
c0581,6,1049.654407,5.034350848,1051
c0581,7,1049.654407,4.265705691,940
c0581,8,1049.654407,3.924541662,882
c0581,9,1049.654407,3.901902007,911
c0581,10,1049.654407,5.053059149,1037
c0582,1,1050.373319,3.683505329,571
c0582,2,1050.169674,3.589693034,527
c0582,3,1042.245336,3.446392735,565
c0582,4,1050.169674,3.788671584,564
c0582,5,1050.3733190000003,3.371964934,614
c0582,6,1039.707544,3.475791585,540
c0582,7,1044.955492,3.560041652,541
c0582,8,1043.3960260000001,3.375967381,559
c0582,9,1044.9776889999998,3.635037552,560
c0582,10,1039.7075439999999,3.355872346,565
c0583,1,983.339056,3.434753528,763
c0583,2,983.339056,3.662360341,823
c0583,3,983.339056,3.775968877,768
c0583,4,983.339056,3.430358516,696
c0583,5,983.339056,3.440347001,779
c0583,6,983.339056,3.436980455,740
c0583,7,983.339056,3.422078292,787
c0583,8,983.339056,3.902303877,798
c0583,9,983.339056,3.22777256,680
c0583,10,983.339056,3.475856301,736
c0584,1,1065.494449,4.080082808,485
c0584,2,1065.494449,4.04437974,540
c0584,3,1065.494449,4.113505632,624
c0584,4,1065.4944489999998,4.981855236,647
c0584,5,1065.494449,4.064884947,626
c0584,6,1065.494449,4.655614988,631
c0584,7,1065.494449,3.546999933,550
c0584,8,1065.4944489999998,3.677127227,573
c0584,9,1065.494449,3.881354232,614
c0584,10,1065.494449,4.081612849,637
c0585,1,1027.0835630000001,4.522587755,891
c0585,2,1027.0835630000001,4.884665231,954
c0585,3,1027.0835630000001,5.340769093,985
c0585,4,1027.0835630000001,5.686742465,1149
c0585,5,1027.083563,5.99604139,1055
c0585,6,1027.0835630000001,5.529913797,924
c0585,7,1027.0835630000001,4.819606107,933
c0585,8,1027.083563,5.364639046,1116
c0585,9,1027.0835630000001,4.844219912,944
c0585,10,1027.0835630000001,5.019196657,979
c0586,1,971.821518,3.574216873,665
c0586,2,971.821518,3.576806419,739
c0586,3,971.821518,3.853547818,784
c0586,4,971.821518,3.542962333,653
c0586,5,971.8215180000001,4.414862215,743
c0586,6,971.821518,3.964846497,734
c0586,7,971.8215180000001,4.279100943,720
c0586,8,971.821518,3.9736232,716
c0586,9,971.821518,3.611506703,655
c0586,10,971.8215180000001,4.160594542,788
c0587,1,1051.2815420000002,4.434994541,701
c0587,2,1051.281542,4.465706919,725
c0587,3,1051.2815420000002,4.954419733,803
c0587,4,1051.281542,4.385191137,669
c0587,5,1051.281542,4.600502285,678
c0587,6,1060.732496,5.292671511,741
c0587,7,1055.541327,4.57938875,670
c0587,8,1052.174336,4.686952481,670
c0587,9,1051.281542,4.863867173,686
c0587,10,1052.5991159999999,6.732983487,737
c0588,1,1071.18118,3.6252063,608
c0588,2,1071.18118,4.220197907,724
c0588,3,1071.18118,3.422817219,565
c0588,4,1071.18118,3.119182563,560
c0588,5,1071.18118,3.241868575,568
c0588,6,1071.18118,3.244452826,533
c0588,7,1071.18118,3.880419947,713
c0588,8,1071.18118,3.340353063,570
c0588,9,1071.18118,3.236942068,576
c0588,10,1071.18118,3.546688676,630
c0589,1,1060.500165,4.104151938,707
c0589,2,1060.500165,4.439921289,751
c0589,3,1060.500165,3.805059027,664
c0589,4,1060.500165,4.34247515,773
c0589,5,1060.500165,4.279477641,682
c0589,6,1060.500165,4.311204506,741
c0589,7,1060.500165,3.811628801,684
c0589,8,1060.500165,4.168332018,654
c0589,9,1060.500165,4.010535678,673
c0589,10,1060.500165,4.075214561,652
cc0530,1,617.9777060000001,3.440527198,551
cc0530,2,617.977706,4.103487037,682
cc0530,3,616.520361,3.33360411,655
cc0530,4,616.5203610000001,3.791731907,674
cc0530,5,616.520361,3.8112024,624
cc0530,6,616.5203610000001,3.96760255,626
cc0530,7,616.5203609999999,3.454309634,559
cc0530,8,616.5203610000001,4.109201807,599
cc0530,9,616.520361,3.854302095,587
cc0530,10,616.5203610000001,3.924614504,780
cc0531,1,554.4710709999999,3.322626923,556
cc0531,2,554.4710709999999,3.2089429,643
cc0531,3,554.4710709999999,3.530068768,558
cc0531,4,554.4710709999999,3.482740412,593
cc0531,5,554.4710709999999,3.298279145,509
cc0531,6,554.4710709999999,3.219488839,634
cc0531,7,554.4710709999999,3.247626067,610
cc0531,8,554.4710709999999,3.343630102,562
cc0531,9,554.4710709999999,3.357896295,622
cc0531,10,554.4710709999999,3.351752695,548
cc0532,1,521.38055,4.159193586,765
cc0532,2,521.3604879999999,3.740044317,699
cc0532,3,519.610739,4.20993335,950
cc0532,4,521.38055,4.823121074,905
cc0532,5,521.38055,4.199363399,770
cc0532,6,519.1107010000001,3.616053947,573
cc0532,7,518.004694,3.599886802,794
cc0532,8,521.38055,3.690284048,685
cc0532,9,521.38055,3.508142962,752
cc0532,10,521.38055,3.703674362,608
cc0533,1,591.188884,3.003049852,366
cc0533,2,591.188884,3.421421611,479
cc0533,3,591.188884,3.359606556,405
cc0533,4,591.1888839999999,2.964609699,353
cc0533,5,591.1888839999999,3.603318295,392
cc0533,6,591.188884,3.032311494,338
cc0533,7,591.188884,3.174659947,433
cc0533,8,591.188884,3.247855098,333
cc0533,9,591.1888839999999,3.065646919,352
cc0533,10,591.188884,3.208968936,333
cc0534,1,588.793827,3.060933064,322
cc0534,2,588.7938270000001,2.989251053,432
cc0534,3,588.793827,3.154666415,422
cc0534,4,588.793827,3.161813751,484
cc0534,5,588.7938270000001,3.000793723,403
cc0534,6,588.793827,3.0639606,384
cc0534,7,588.7938270000001,2.818085313,368
cc0534,8,588.793827,3.23256542,415
cc0534,9,588.793827,2.998579704,460
cc0534,10,588.793827,2.920726405,503
cc0535,1,563.6967440000001,3.368344158,479
cc0535,2,563.6967440000001,3.222022163,409
cc0535,3,563.6967440000001,3.298782839,414
cc0535,4,563.696744,3.115917061,347
cc0535,5,563.6967440000001,3.268261774,451
cc0535,6,563.696744,3.404597811,404
cc0535,7,563.696744,3.173435931,441
cc0535,8,563.6967440000001,3.33326211,344
cc0535,9,563.696744,3.176219168,379
cc0535,10,563.696744,3.193497366,434
cc0536,1,501.5329,3.616632998,671
cc0536,2,499.05151900000004,3.431635545,734
cc0536,3,499.0515190000001,3.570701348,755
cc0536,4,499.05151900000004,3.804138753,996
cc0536,5,499.05151900000004,3.585718981,682
cc0536,6,501.87478699999997,3.450117102,807
cc0536,7,501.5329,3.757048772,746
cc0536,8,499.0515190000001,3.729286741,842
cc0536,9,500.370997,3.760602498,734
cc0536,10,499.05151900000004,3.275951952,642
cc0537,1,576.481206,3.055591361,557
cc0537,2,576.481206,3.241512697,543
cc0537,3,576.481206,2.910733391,526
cc0537,4,579.879015,3.122744318,575
cc0537,5,577.5422709999999,2.945024242,478
cc0537,6,579.879015,3.584632957,643
cc0537,7,576.481206,3.249798,530
cc0537,8,576.481206,2.989062682,554
cc0537,9,579.879015,3.280440731,547
cc0537,10,576.481206,3.019983113,456
cc0538,1,523.0500020000001,3.588753489,502
cc0538,2,523.0500020000001,3.830488086,514
cc0538,3,523.0500020000001,3.738446081,537
cc0538,4,523.0500020000001,3.994511189,504
cc0538,5,523.0500020000001,3.823206538,489
cc0538,6,523.0500020000002,4.132630672,545
cc0538,7,523.050002,3.780102807,486
cc0538,8,523.0500020000001,3.815562751,471
cc0538,9,523.0500020000001,3.585531734,520
cc0538,10,523.0500020000001,4.10843835,581
cc0539,1,578.245271,2.91829852,524
cc0539,2,578.2452709999999,2.997586785,530
cc0539,3,578.3070889999999,3.321730511,625
cc0539,4,578.245271,2.86510793,526
cc0539,5,578.245271,3.455466659,521
cc0539,6,578.245271,3.104146728,576
cc0539,7,578.245271,3.018197961,566
cc0539,8,578.245271,3.375739244,682
cc0539,9,578.2452709999999,3.236884895,624
