RC106_100_020 1464.7999999999997.
RC106_100_025 1501.1.
RC107_100_005 1209.2999999999997.
RC107_100_010 1237.9999999999998.
RC107_100_020 1291.4000000000003.
RC107_100_025 1361.5.
RC108_100_005 1129.4999999999998.
RC108_100_010 1160.3999999999999.
RC108_100_015 1205.1.
RC108_100_020 1211.3999999999999.
RC108_100_025 1237.1999999999998.
RC201_100_005 1269.5.
RC201_100_010 1269.6.
RC201_100_015 1269.5.
RC201_100_020 1268.8.
RC201_100_025 1269.6.
RC202_100_005 1096.3.
RC202_100_010 1106.9.
RC202_100_015 1105.6999999999998.
RC202_100_020 1105.6999999999998.
RC202_100_025 1107.6.
RC203_100_005 941.9999999999999.
RC203_100_010 940.0999999999999.
RC203_100_015 941.0999999999999.
RC203_100_020 961.5999999999999.
RC203_100_025 966.8000000000002.
RC204_100_005 807.1999999999999.
RC204_100_010 801.0.
RC204_100_015 800.1.
RC204_100_020 802.0999999999999.
RC204_100_025 810.0.
RC205_100_005 1170.4.
RC205_100_010 1165.2999999999925.
RC205_100_015 1168.4999999999995.
RC205_100_020 1160.9.
RC205_100_025 1171.1999999999998.
RC206_100_005 1063.5.
RC206_100_010 1061.7.
RC206_100_015 1060.7999999999997.
RC206_100_020 1061.2999999999997.
RC206_100_025 1066.5.
RC207_100_005 965.9999999999998.
RC207_100_010 970.3999999999999.
RC207_100_015 977.1999999999998.
RC207_100_020 977.1999999999998.
RC207_100_025 967.2999999999998.
RC208_100_005 779.5999999999999.
RC208_100_010 782.7.
RC208_100_015 780.3999999999999.
RC208_100_020 780.3999999999999.
RC208_100_025 782.4000000000001.
