instance,BKS,Best ub,Avg ub,Avg time,Results Best ub,Results Avg ub,Results Avg time,Gap Best ub,Gap Avg ub,Gap Results Best,Gap Results Avg
135_2.0,1379.4,1382.0,1389.2,39.3,1385.3357,1395.2281,28.7272,0.1885,0.7105,0.4303,1.1475
135_2.5,1206.1,1206.1,1207.3,21.0,1208.3414,1209.3087,23.4621,0.0,0.0995,0.1858,0.266
135_3.0,1147.9,1156.6,1161.7,22.8,1141.6753,1149.0572,23.3711,0.7579,1.2022,-0.5423,0.1008
151_1.0,2956.9,2956.9,2959.3,28.6,2961.0102,2964.5776,36.1078,0.0,0.0812,0.139,0.2597
151_1.5,2169.9,2171.9,2174.3,96.5,2180.2251,2188.4721,48.7869,0.0922,0.2028,0.4758,0.8559
151_2.0,1775.4,1777.2,1777.7,81.6,1790.4827,1795.3072,52.8175,0.1014,0.1295,0.8495,1.1213
151_2.5,1535.8,1536.7,1537.6,91.7,1542.2237,1551.222,39.5655,0.0586,0.1172,0.4183,1.0042
151_3.0,1389.2,1400.5,1404.1,205.2,1403.8053,1413.8461,35.6297,0.8134,1.0726,1.0513,1.7741
200_1.0,3821.7,3821.7,3823.8,76.2,3830.957,3834.8432,65.6133,0.0,0.0549,0.2422,0.3439
200_1.5,2739.3,2742.2,2749.8,224.3,2752.4586,2760.2821,90.8036,0.1059,0.3833,0.4804,0.766
200_2.0,2217.1,2218.5,2233.4,214.9,2241.4421,2251.2439,99.6358,0.0631,0.7352,1.0979,1.54
200_2.5,1912.7,1927.4,1943.5,226.0,1937.6371,1943.2119,94.1818,0.7685,1.6103,1.3038,1.5952
200_3.0,1709.6,1715.4,1722.2,226.2,1725.0859,1730.7016,80.1589,0.3393,0.737,0.9058,1.2343
256_1.0,83956.1,83956.1,83956.1,22.3,83956.1304,83956.1304,81.468,0.0,0.0,0.0,0.0
256_1.5,58274.8,58274.8,58274.8,53.7,58277.2068,58570.8367,255.5452,0.0,0.0,0.0041,0.508
256_2.0,39596.4,39596.4,39596.5,46.9,39653.9756,40110.2743,222.7883,0.0,0.0003,0.1454,1.2978
256_2.5,31101.4,31101.4,31101.6,115.9,31129.1239,31356.7813,300.9346,0.0,0.0006,0.0891,0.8211
256_3.0,25361.8,25372.8,25384.4,243.0,25420.5818,25516.8212,272.3185,0.0434,0.0891,0.2318,0.6112
301_1.0,24087.0,24107.8,24213.4,298.1,24172.2642,24278.2888,236.9998,0.0864,0.5248,0.354,0.7942
301_1.5,17517.0,17586.4,17679.0,298.2,17736.8295,17763.1372,205.9688,0.3962,0.9248,1.2549,1.4051
301_2.0,14367.0,14695.8,14863.8,302.9,14669.0023,14721.1322,200.085,2.2886,3.4579,2.1021,2.4649
301_2.5,12598.2,12610.5,12860.6,304.4,12641.8616,12707.7373,244.1539,0.0976,2.0828,0.3466,0.8695
301_3.0,11352.1,11405.0,11548.5,299.4,11372.8832,11442.6755,177.843,0.466,1.7301,0.1831,0.7979
O10,26.8,26.8,26.8,0.1,26.8324,26.8324,0.967,0.0,0.0,0.1209,0.1209
O13,35.8,35.8,35.8,0.1,35.7771,35.7771,0.2102,0.0,0.0,-0.064,-0.064
O16,38.8,38.8,38.8,0.2,38.8322,38.8322,0.262,0.0,0.0,0.083,0.083
O19,52.4,52.4,52.4,0.2,52.4397,52.4397,0.4968,0.0,0.0,0.0758,0.0758
O21,51.8,51.8,51.8,0.3,51.7771,51.7771,0.3902,0.0,0.0,-0.0442,-0.0442
O25,64.9,64.9,64.9,0.4,64.8772,64.8772,0.8654,0.0,0.0,-0.0351,-0.0351
O28,62.8,62.8,62.8,0.6,62.8319,62.8319,0.6089,0.0,0.0,0.0508,0.0508
O31,77.7,77.7,77.7,0.6,77.6645,77.6645,0.9015,0.0,0.0,-0.0457,-0.0457
O37,83.8,83.8,83.8,1.0,83.7771,83.7771,0.917,0.0,0.0,-0.0273,-0.0273
O40,86.8,86.8,86.8,1.3,86.8315,86.8315,1.0775,0.0,0.0,0.0363,0.0363
O41,102.0,102.0,102.0,1.1,101.9825,101.9825,3.0277,0.0,0.0,-0.0172,-0.0172
O49,101.3,101.3,101.3,1.5,101.2911,101.2911,2.8428,0.0,0.0,-0.0088,-0.0088
O52,110.8,110.8,110.8,2.4,110.8312,110.8312,1.6856,0.0,0.0,0.0282,0.0282
O53,115.8,115.8,115.8,2.2,115.7771,115.7771,1.7346,0.0,0.0,-0.0198,-0.0198
O55,125.7,125.7,125.7,2.2,125.6638,125.6638,2.2226,0.0,0.0,-0.0288,-0.0288
O64,134.8,134.8,134.8,4.1,134.8343,134.8343,2.4668,0.0,0.0,0.0254,0.0254
O69,147.8,147.8,147.8,4.2,147.7771,147.7771,2.775,0.0,0.0,-0.0155,-0.0155
O73,167.6,167.6,167.6,4.2,167.5528,167.5528,12.5962,0.0,0.0,-0.0282,-0.0282
O79,173.7,173.7,173.7,5.3,173.6631,173.6631,4.0123,0.0,0.0,-0.0212,-0.0212
